,COL17A1,NTSR1,DHRS9,MSLN,GPRC5A,LAMC2,S100A2,GJB2,HMGA2,AREG,AHNAK2,KLHL32,CLIC3,WNT10A,IL20RB,CDA,MUC4,POSTN,SEMA7A,SLC2A1,FN1,INHBA,ori_class
77e49007-3e44-4157-beae-8f7e94234c78,18.784042359617867,13.284236508165492,16.643288006404795,21.892824890256517,21.595282795118532,22.624881677996566,20.275110559649253,20.52726915295789,10.669450227487298,20.991472700691624,18.777473073024424,10.77303822159764,19.088252198557036,17.02810014024371,14.602318669067415,19.02122197063098,14.526976244408992,22.509551272999072,18.691636459202304,21.091191837539185,23.797243148527322,19.346795623582402,D
c53328b4-0930-4e6a-a648-283b5565295e,20.240258715584933,17.67279214624379,14.636495061249768,22.23603592943436,21.408939088310106,22.859770614408802,17.461727299603915,19.29381733310753,10.06773147723019,20.508361633506087,16.30512783565342,11.656882601138998,20.745463216573633,16.7179867244724,14.264604153554936,15.828075573097873,15.318736379304962,20.88252286114984,18.128983297714555,20.075687879040174,21.868157065319412,17.12712963187117,HA
c6388925-c0a1-4610-a6b9-d9d9500d88c6,20.634670711622654,15.810669120324754,20.501194438022893,20.235217143844395,21.509956207595156,20.183831538802355,16.410023424100743,20.236799182677903,9.507345762841936,19.639902745705296,17.691903922634488,11.305347400096604,17.409238459712622,14.565353570386964,14.555028531603527,17.704178962956252,16.33072968295357,20.416739108656508,19.311911031144266,20.54682968690696,22.695669592267592,19.30649508756747,D
20094e3e-cee3-41dd-8553-1fc393117786,21.17162317852859,18.65425295693308,18.89811168221761,22.64793105431004,21.623509316895408,20.94735622573479,17.59406090362819,20.14066483820725,14.583807768298607,18.970731130017025,18.728324131186742,10.4166620372039,18.425264394370654,15.075519760447559,15.454567854751929,19.229344184395845,16.219659830828768,22.01609272819978,17.302888204475696,21.358012136747497,22.833923896914175,19.403787603935022,COL
a2fd0991-cfbd-4162-8ca9-2ed096f54a14,17.282048241745574,13.206756584283422,18.33429917315171,20.20530939137107,19.736118670108635,20.533623162310022,16.08693406424191,18.479507224436063,12.387473333597114,20.158745896539468,16.820677018327647,11.625603451095573,16.3306976524395,15.333967193861282,14.983537473256773,18.55223534595995,13.062528869427057,20.68162442600999,17.351405633325513,19.471448701688853,21.176748597637538,17.924683273595363,COL
a28cfa95-5a99-40f3-928e-7a94f2492d2c,21.823054595985838,14.368410312480554,19.86987451319346,21.677890826759725,21.52521997084573,22.33668136456042,20.318320304147967,20.241339600110802,12.390172383650366,17.958811766144645,17.944874025326747,12.229491316282076,19.050766519032237,17.434837392431213,17.05473625051634,17.737318881948163,13.883647450837131,19.791668917406316,18.42780738612114,20.30687594494306,20.603668272936968,17.23148377326552,HA
33833131-1482-42d5-9cf5-01cade540234,19.715510584175686,13.066541318933249,15.673743669293206,21.003994140282252,20.147947932261992,21.676358255397936,17.57074129233552,18.499766959225322,11.255071057778054,19.663628622853075,18.076858677562875,12.520577614207442,19.80234349669669,14.72811636460115,14.020860393458783,19.158173054841768,18.82099400906031,18.231008424522052,20.80077184894818,21.90976387163119,21.190256206381445,17.525911680112664,L
f91eb33d-76f0-418c-9962-11a5b31ca1dc,20.2654955898497,14.111713332818203,17.212248819269092,20.43661379001149,20.533893271432493,21.642634864252415,15.978573365282001,21.017328975550498,12.77824151516483,19.318622461139668,18.467793394875322,10.081550104310065,18.13297374402662,16.39624480872704,16.648601895771897,19.41429096340944,15.060480822746982,22.921051715914714,18.189239374668503,20.052157082496805,23.939483081259688,21.121597304498565,D
05d2adb3-5c6d-4edc-ba4c-bdbf628f4eee,16.32573628559052,12.01972354209039,15.055460956013524,17.662819272652374,19.319699716392847,20.535086186213306,16.10047802278013,18.858790751760687,12.110321493086918,16.997709726213174,15.51339423709459,12.352453541140695,16.873457972097455,13.681733461922343,13.597195622841241,16.787925157947477,15.006726308947986,19.432899108872128,18.06981403902473,19.246337390203532,22.010020068264314,18.901539393097643,COL
75119d1a-93e5-4ae7-9d60-69ee929a0772,21.312458775099717,12.357231636814753,17.101472852060127,22.997062129473335,22.107767841309734,21.106927465697705,16.775395767145522,19.95612092013869,13.118719097339945,18.82856914491435,18.30873013273967,10.670405396253042,20.969337709217207,17.24198279390682,15.277603379416243,18.10457592018664,14.140632789735704,19.70504202063111,17.32556364362399,20.36075896562339,21.245638032268626,17.32135533855532,HA
